City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,puerto madryn,-42.7692,-65.0385,282.14,60,76,6.12,AR,1715549725
295,shubarshi,48.5872,57.1869,291.86,48,100,9.16,KZ,1715549725
296,fukuecho,32.6881,128.8419,290.99,82,98,8.75,JP,1715549726
297,cockburn town,21.4612,-71.1419,302.13,65,40,2.57,TC,1715549602
298,khovd,48.0056,91.6419,285.74,57,100,1.79,MN,1715549726
299,port hedland,-20.3167,118.5667,293.18,64,0,3.09,AU,1715549726
300,obo,5.3998,26.4869,298.86,52,48,2.0,CF,1715549727
301,petrolina,-9.3986,-40.5008,304.18,55,40,2.06,BR,1715549727
302,colares,38.7992,-9.4469,290.36,85,99,14.75,PT,1715549727
303,siatista,40.2619,21.5442,285.03,77,23,1.92,GR,1715549728
304,bambari,5.768,20.6757,296.45,74,95,1.5,CF,1715549728
305,port elizabeth,-33.918,25.5701,288.32,96,75,3.09,ZA,1715549728
306,kotel'nikovo,47.6317,43.1461,279.33,63,7,3.05,RU,1715549728
307,urucara,-2.5364,-57.76,296.26,98,100,0.83,BR,1715549729
308,karauli,26.5,77.0167,306.54,25,99,3.17,IN,1715549729
309,bardai,11.65,7.2333,298.9,66,100,6.2,NG,1715549729
310,jimenez,28.3333,-105.4,307.29,6,19,7.67,MX,1715549687
311,torquay,50.4638,-3.5143,287.86,88,49,1.79,GB,1715549730
312,ambon,-3.6954,128.1814,298.64,95,40,2.57,ID,1715549730
313,chui,-33.6971,-53.4616,287.46,91,100,5.96,UY,1715549730
314,konstantinovka,49.6167,127.9833,281.45,67,37,1.42,RU,1715549730
315,mount gambier,-37.8333,140.7667,285.87,92,74,3.09,AU,1715549730
316,nosy varika,-20.5833,48.5333,295.99,79,66,0.46,MG,1715549731
317,plainview,40.7765,-73.4673,287.58,68,20,1.54,US,1715549568
318,san patricio,28.017,-97.5169,305.55,64,85,7.16,US,1715549731
319,maruoka,36.1534,136.2703,287.09,98,100,4.37,JP,1715549731
